,Unnamed: 0,m/z,gfap_positive_Y1,gfap_positive_Y2,gfap_positive_Y3,gfap_positive_Y4,gfap_positive_Y5,gfap_positive_Y6,gfap_positive_Y7,gfap_positive_Y8,gfap_positive_Y9,gfap_positive_Y10,gfap_negative_Y1,gfap_negative_Y2,gfap_negative_Y3,gfap_negative_Y4,gfap_negative_Y5,gfap_negative_Y6,gfap_negative_Y7,gfap_negative_Y8,gfap_negative_Y9,gfap_negative_Y10,ranksums_test_statistics,ranksums_p-value
10,10,54.0,0.0006580606641275968,0.0016750505462030207,0.013634110822743087,-4.49706595308355e-19,-0.0,0.000259201907602346,4.0911930999107195e-18,-4.633373162179876e-18,0.014392627261316713,0.004572853407223665,-3.9395947081014996e-19,0.00209274364996156,-4.124771367055661e-17,0.0032806928119547074,-0.0,0.000801971404516968,0.0015694513809645775,0.0004603782723439419,-2.05797541534561e-17,-1.6211352755023602e-18,0.680336051416609,0.49629170223109287
11,11,54.7,-1.328033325852289e-18,0.01280123312003003,-5.361725071446028e-18,-1.353923660891608e-18,-6.775078764058704e-19,-3.565946531219503e-19,-3.6666779576831086e-17,-1.6380010149073327e-18,0.009064594949961471,-0.0,0.0009716817883658073,-1.7736843228867498e-16,0.009519362701057854,0.008255395907540125,0.0018246952165167519,0.0004986706635681943,0.00329082795873682,0.0007319924981759223,-2.7104444356787212e-18,-0.0,-1.4362649974350634,0.15092695006671628
12,12,58.0,-3.190089491673725e-19,1.7418452832882288e-19,0.0058414920086998145,-0.0,0.0002326170452279982,-1.354775469801133e-19,-0.0,0.011842561568984578,0.008880001261933442,0.0019876082559877896,0.0008809926018296127,0.004286550336844063,6.753343016003145e-05,-0.0,-6.767615525569846e-18,0.0009548534667303928,-0.0,-4.666485232483389e-17,-4.340894757221292e-18,-5.682035421338724e-19,0.8315218406202999,0.40567889528505297
13,13,58.3,-3.867922546370033e-19,-2.877377957508597e-18,-0.0,0.0030850468201944147,-7.423426663256467e-20,-2.9528272246218496e-20,0.042629945612736385,-9.134756572262983e-18,-7.876723875617125e-18,-0.0,0.0022074121108850244,0.0021415933986970366,-0.0,1.932653121752208e-18,0.0014639079514289664,0.000200744144071702,0.0005209330941747387,0.001463240033827459,0.002533953280414065,-0.0,-1.360672102833218,0.17361733442494354
14,14,58.5,0.0006759828331966449,0.0025139607327450955,0.006420181137796117,8.280905414902853e-20,0.0001657729787619723,-4.820379933277455e-19,0.02092536876050436,-4.902190392500922e-19,0.008095543578812099,1.2377177774612812e-18,-4.0460251963580973e-19,0.0022357035677209656,-1.4410962546823805e-17,0.001722422209338674,0.0007593440727361626,0.0013212960486864065,-3.9699489225957846e-18,0.0005454478424082402,0.0013056816271816887,0.0023817203940749627,0.22677868380553634,0.8205958397554409
15,15,59.0,0.013830630527492041,0.017911422511691096,0.019076635828333195,0.0093742437445674,0.010228649398765027,0.008455998668796991,0.3609924694934497,-1.1844501385382315e-17,-1.0883625770509286e-17,0.03703971534895103,0.0022839422516698115,0.01203572362047236,0.08970486433559292,0.056218815366971486,0.043844456820468745,0.0047842103789595405,0.0260235343116975,0.0036890428194801773,0.037989329220676514,0.026553743927320076,-0.9827076298239908,0.3257513544787166
16,16,59.3,-1.3612891407358859e-18,0.0015253297010660995,0.009826149436174271,0.0037890904480036938,1.0614648227469282e-19,0.000737830274560483,0.06068150263955676,0.003543847631400761,-6.459469915199737e-18,0.0035348375268754203,0.001569897867704841,0.002629929857410602,0.001102316844451239,-2.905088807265468e-18,0.001110566177194704,-1.7311146301281063e-17,-8.572853608360039e-18,-2.674521224779319e-18,0.0022426301074322265,-6.376005667521997e-19,1.4740614447359863,0.14046504815835495
17,17,60.2,0.003187789260003174,0.0033718407907669897,0.002240164698249514,1.4441597571782358e-05,-1.4783979072263447e-18,-8.004691374384905e-20,-4.7934803955199775e-17,-1.2336997894749999e-18,-4.060123705940656e-18,0.0009424721448608877,-2.392256783295377e-18,-1.4537547017519702e-16,0.0021802008533080056,0.005383610999142656,0.0017222520943745905,0.00011841861551879837,0.002745098502483453,0.0006690559947112887,0.0015817240306052296,0.0008165341788208575,-0.9071147352221454,0.3643461266335529
18,18,61.6,0.003307586540341132,0.003482635307446555,0.0005589610587854073,0.0022093018220866595,0.0002991317189231346,0.0002828203813942082,-5.636597295553599e-17,-0.0,0.005721737449595215,-3.936380386985498e-20,-3.8386270399696165e-18,-1.5015221881458486e-16,0.0017598748334882476,0.0012930133251534794,0.00017951003580183033,0.00031452378622496966,0.0027081074941329338,-0.0,-1.4460282945226923e-17,0.001976089499385506,0.8315218406202999,0.40567889528505297
19,19,62.0,0.6500416117828639,0.3743534831966936,1.0,0.18493094840325494,0.0942399509910701,0.007630716036505079,-1.9394822568653465e-15,0.19049351206141252,0.453911399162294,0.1126359047101246,0.14325485411371308,0.4214636552317474,0.6219394877512021,1.0,0.5720614320986714,0.01048896135461388,0.5232388937190621,0.13896698892211634,0.287822875335627,0.2272613441338734,-0.944911182523068,0.3447042220069576
20,20,62.3,0.0006432136183241102,-4.565976709021446e-20,-4.366901158954632e-18,0.0008773977583393987,-0.0,0.000437328354162396,0.015242344490412837,-4.92157664725242e-18,-5.4941835098710966e-18,0.001309843136133968,-3.8498477349319826e-19,0.0018627270747699016,0.01097806560328595,0.004500563560008693,-0.0,6.157243654318087e-06,-1.1246230926686449e-18,0.0008677835354046123,0.0012558438871840257,-1.142791533583753e-18,-0.5291502622129182,0.5967012167293563
21,21,62.6,0.004434809897238547,-3.7574459608883006e-18,0.006807187797939435,0.0022746428162286987,-0.0,-1.1885258749678507e-19,0.017556147119604678,0.010361515179118768,-4.340421049605986e-18,0.0010058892874574774,-3.097098382346265e-18,0.0033677703419946426,-2.3070304973135128e-17,0.0006126802833295314,-0.0,0.0002646352262815872,-1.29545303071464e-18,-2.877627708163114e-17,0.0014782214697756989,0.0005535513471598653,1.2850792082313727,0.19876460637323512
22,22,63.5,0.005642477403167132,1.247072496948051e-19,0.001434268173045599,3.096236399496137e-19,0.0005958909283537411,0.0002442910139634854,-1.0648151315571833e-17,-8.11402076482843e-18,-1.3421927302450199e-18,0.00495461254400759,-4.255568375731538e-18,0.0010834718488030805,0.0040963321974900714,0.00575515478175488,0.00014568957281774672,-6.826452946772557e-18,0.0032011362132904754,0.0014740951300017244,0.0005552601190226043,-2.1650066203793856e-18,-0.7181324987175317,0.47267559351158717
23,23,63.6,-1.5768457965784662e-18,-2.230009660645663e-18,0.0012591072624535114,-3.859816257132851e-22,1.5304404042640404e-05,-3.600851493515031e-19,0.038464402707523285,0.006697288885879236,-0.0,0.0008777218923661668,0.0015797299657881155,0.00377761359876594,0.008461018328090758,0.006332994080400695,0.0005264991930941421,0.0005023142559424751,-4.4024182364355796e-18,-3.495271521120701e-17,-0.0,0.0007832496361810237,-0.6425396041156863,0.5205228832757727
