,m/z,gfap_positive_Y1,gfap_positive_Y2,gfap_positive_Y3,gfap_positive_Y4,gfap_positive_Y5,gfap_positive_Y6,gfap_positive_Y7,gfap_positive_Y8,gfap_positive_Y9,gfap_positive_Y10,gfap_negative_Y1,gfap_negative_Y2,gfap_negative_Y3,gfap_negative_Y4,gfap_negative_Y5,gfap_negative_Y6,gfap_negative_Y7,gfap_negative_Y8,gfap_negative_Y9,gfap_negative_Y10
1441,139.0,0.0009094846424710515,0.0007063199989684802,2.1881664113308505e-19,0.0005461826879735009,-0.0,-0.0,-0.0,0.005035684100223401,0.006590660443641736,0.002364204421092806,-9.737706589808395e-19,0.0007080500128472538,0.003896058597743581,0.0005522382063820814,-0.0,-0.0,-0.0,-1.388245537670823e-17,-1.665600058965622e-17,-1.1794424479742586e-18
1442,139.1,0.0009377328712219117,-0.0,-0.0,-0.0,-0.0,-0.0,-5.592983161825077e-17,-0.0,-0.0,-3.4223219968692633e-18,-1.0039798273898431e-18,-0.0,-0.0,-0.0,-0.0,-0.0,0.0015390420701680918,-0.0,-0.0,0.0008530827689691327
1443,139.3,0.0009182393205255132,0.0006190205054861945,-0.0,0.0007727662408282567,-0.0,-1.333745566543943e-19,-0.0,-1.73118071266067e-17,-1.804124411884275e-18,-0.0,-9.830948501552013e-19,0.0007228202588933246,-0.0,-2.6618535812075803e-18,-0.0,0.0002969618296899364,-0.0,0.0008314646952351444,0.0006702293448000728,-0.0
1444,139.8,0.0010301192445762994,-0.0,0.006429596302457521,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.1028986435034667e-18,-0.0,-3.3477845939519777e-17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1445,141.20000000000002,0.0010379776415601828,-0.0,-0.0,0.0005510202295406167,4.4665882689037544e-20,0.00040749885462579977,-0.0,0.00026147849061824627,-4.1582220542590356e-18,-0.0,-1.1113967064943886e-18,-0.0,-0.0,0.0005571293816923728,0.0013052961239389026,3.3869392744967425e-05,-0.0,0.0002810977066462668,0.0006831990681518013,-0.0
1446,142.0,0.0010812731873333728,0.0011739120262952648,-0.0,-0.0,-0.0,-2.809537841406773e-20,-0.0,-8.356155097688947e-19,-0.0,-0.0,-1.1576547407641482e-18,0.0007771964079111955,-0.0,-0.0,-0.0,0.0006333678782523959,-0.0,0.0005077411003767661,-0.0,-0.0
1447,144.9,0.0011899803843825798,5.130178281805898e-19,0.004022905957458387,-1.736412796853704e-19,-0.0,-0.0,-0.0,-0.0,-1.4237609233968926e-18,-0.0,-1.2740706243031528e-18,0.002928454224691541,-2.838533143988764e-17,0.0015286525719101834,-0.0,-0.0,-0.0,-0.0,0.001992047783235081,-0.0
1448,147.4,0.0013154079545352945,-0.0,-0.0,-2.2134231617280457e-19,-0.0,-0.0,-1.1064989732110256e-17,-0.0,-0.0,0.0011400582562375871,-1.4083358620477807e-18,-0.0,-0.0,0.001530084045832387,-0.0,-0.0,0.0017581699189812543,-0.0,-0.0,3.48126468899818e-05
1449,148.4,0.0010530355417205392,-0.0,0.004842619339309686,-0.0,-3.3679020507187615e-21,-1.7108910767639632e-19,-0.0,0.00405300809198312,-0.0,-0.0,-1.127529948693488e-18,-0.0,-2.0137859328371584e-17,-0.0,0.000605800394823669,0.0005179779506076595,-0.0,-1.6700283331992806e-17,-0.0,-0.0
1450,155.3,0.0023789243385177513,-0.0,-0.0,0.0006791181299252487,-0.0,-1.7784772302321163e-20,-5.984020979025575e-18,-0.0,-0.0,-0.0,-2.3998116016604196e-18,-0.0,-0.0,-1.747168841615849e-18,-0.0,0.0003290185639046558,0.0007136999515953047,-0.0,-0.0,-0.0
